role;sex;age;education;exp;w_screen;h_screen;os;browser;lang;cpu;lan;gpu;template;size;layout;quality
3;0;63;3;1;1920;1920;1;5;1;1;5;1;2;1;1;0
0;0;59;1;0;2560;1920;1;5;0;8;10;0;0;1;1;1
0;0;63;1;1;720;1280;0;3;0;4;2;1;1;2;0;1
1;1;36;3;2;720;1280;1;6;1;1;0.5;0;0;2;1;0
3;1;63;3;0;720;1280;1;5;0;2;1;1;0;2;1;1
4;1;63;1;0;2560;720;2;5;1;8;2;0;0;2;1;1
0;0;61;1;1;720;1280;0;3;1;1;10;1;1;2;0;0
0;0;53;3;1;3840;1280;1;5;0;1;10;0;1;1;1;0
4;1;49;2;1;3840;3840;2;5;0;2;1;0;3;2;1;1
0;0;61;2;0;720;1280;0;0;0;2;2;0;0;2;0;0
0;0;43;2;1;3840;1280;1;6;0;8;10;1;1;1;1;2
3;0;61;1;1;3840;1280;1;5;1;1;5;0;2;1;1;0
1;0;45;3;2;3840;2560;0;4;0;4;10;1;0;1;0;1
0;0;63;1;1;3840;1920;0;1;0;4;0.5;1;1;1;0;1
0;1;34;1;2;720;1280;2;5;1;4;10;1;1;1;1;2
4;0;49;3;2;1280;1920;1;6;0;4;5;0;3;1;1;1
0;0;69;3;1;1280;1920;1;5;0;4;2;1;1;1;1;2
3;0;47;2;2;1920;1920;0;3;0;8;0.5;1;2;1;0;1
3;1;37;2;1;3840;1280;1;6;1;8;1;1;2;1;1;1
0;1;67;2;0;1280;2560;1;6;0;1;0.5;1;0;1;1;0
4;1;22;2;2;2560;1920;1;6;1;2;0.5;1;3;0;1;1
1;1;37;1;2;720;1280;0;2;1;2;2;1;0;1;0;0
2;1;49;3;1;2560;1280;0;0;1;2;2;1;2;1;0;0
0;1;43;1;1;720;1280;1;5;0;2;1;1;1;2;1;1
2;1;61;1;0;1920;3840;0;1;0;2;10;1;0;1;0;0
4;0;35;1;2;1280;1920;1;6;1;8;2;0;3;1;1;1
2;0;35;3;2;1280;3840;0;0;0;8;1;0;2;1;0;1
2;1;43;3;1;1920;3840;0;4;1;4;5;1;2;1;0;1
1;0;49;3;1;3840;1280;0;2;0;1;0.5;0;1;1;0;0
4;1;41;1;2;2560;720;2;5;0;2;5;0;3;2;1;1
4;1;43;3;2;3840;2560;1;6;0;1;1;0;3;1;1;0
2;0;59;1;0;3840;3840;1;5;0;1;5;1;0;1;1;0
3;1;21;2;2;1280;3840;0;3;0;8;1;0;1;0;0;1
2;0;43;2;2;1920;720;1;5;1;8;2;1;2;1;1;2
0;1;23;1;2;2560;1920;2;5;0;8;5;0;1;0;1;1
1;0;55;1;1;3840;1920;1;5;1;4;0.5;1;0;1;1;1
0;1;23;2;2;2560;720;1;5;0;2;10;0;0;0;1;0
0;1;29;2;2;720;1280;1;5;0;2;5;0;1;2;1;0
0;1;47;1;2;720;1280;2;6;1;2;0.5;0;1;2;1;1
2;0;19;1;2;1920;1280;2;5;0;4;2;1;2;0;1;2
0;0;37;3;1;1280;2560;2;6;1;4;1;1;1;1;1;1
4;0;55;1;0;1920;1280;2;5;0;8;1;0;0;2;1;1
2;1;61;3;1;3840;1280;1;5;0;2;10;1;2;1;1;0
0;1;55;1;0;1280;720;0;0;0;1;5;1;0;1;0;0
0;1;57;2;0;720;1280;0;0;1;1;10;1;0;2;0;0
3;0;53;1;0;1920;3840;2;6;0;4;0.5;1;0;2;1;1
2;0;59;2;1;2560;1920;1;5;1;1;1;1;2;1;1;0
0;1;39;2;2;720;1280;2;6;1;2;10;1;1;1;1;1
4;0;43;3;1;720;1280;2;5;0;2;10;0;3;2;1;1
0;1;61;3;0;720;1280;0;1;1;4;0.5;0;0;2;0;1
4;1;43;1;2;2560;1920;2;6;1;2;5;0;3;2;1;1
4;1;33;1;1;1280;1920;2;6;0;4;2;1;3;1;1;2
0;0;36;1;1;2560;720;0;4;0;4;10;1;0;1;0;1
1;1;37;2;2;1280;3840;2;6;0;1;1;1;0;2;1;0
0;1;21;2;2;1280;3840;1;5;1;8;1;0;1;1;1;1
4;1;31;2;1;2560;720;0;3;1;4;10;1;3;1;0;1
4;0;37;3;1;720;1280;2;6;0;8;10;1;3;1;1;2
3;0;55;1;0;720;1280;2;6;0;8;5;1;0;2;1;2
0;0;53;3;0;2560;1280;0;3;0;1;5;0;0;1;0;0
2;0;27;2;2;2560;720;1;5;1;4;5;0;2;1;1;1
4;1;21;1;2;720;1280;2;6;0;8;2;0;3;0;1;1
4;1;59;1;0;2560;2560;1;6;0;8;2;0;0;1;1;1
2;0;45;3;1;720;1280;0;3;0;4;10;1;2;2;0;1
2;0;57;1;0;720;1280;0;4;1;8;1;1;0;2;0;1
0;1;61;1;0;720;1280;2;6;1;2;0.5;1;0;2;1;1
1;0;39;3;2;1280;3840;1;5;0;1;5;1;0;1;1;0
3;1;37;2;2;720;1280;2;5;0;4;1;0;2;1;1;1
0;0;53;3;1;2560;1920;1;6;1;1;0.5;1;1;1;1;0
2;1;17;0;2;1920;3840;1;6;0;4;1;1;1;0;1;1
1;1;22;1;2;2560;1920;0;0;1;4;0.5;1;0;0;0;1
0;1;23;1;2;1920;1280;1;5;1;2;0.5;1;1;1;1;1
0;1;19;0;2;3840;1920;1;5;1;4;10;0;1;1;1;1
4;0;55;3;0;1280;1280;0;4;0;1;10;0;0;1;0;0
0;1;25;2;2;3840;1280;1;5;1;8;5;0;1;1;1;1
2;1;66;3;0;1920;1280;0;0;1;2;2;1;0;1;0;0
0;0;63;3;0;1920;3840;0;3;0;4;5;0;0;1;0;1
1;1;19;0;1;720;1280;0;4;1;8;5;1;0;1;0;1
0;0;31;3;1;720;1280;2;5;1;1;0.5;1;1;1;1;0
0;0;45;2;1;720;1280;0;4;1;4;2;1;1;2;0;1
2;1;65;1;1;1920;720;2;6;1;2;5;1;2;2;1;1
0;1;39;1;2;3840;1280;0;2;0;8;5;1;1;1;0;1
1;0;41;2;1;720;1280;2;6;1;1;10;0;1;1;1;0
3;1;17;0;1;3840;3840;1;5;1;2;0.5;1;1;0;1;1
0;1;45;2;2;3840;1280;2;5;1;4;2;0;1;2;1;1
0;1;25;1;2;2560;3840;1;5;1;2;5;1;1;1;1;0
3;0;45;2;1;2560;1280;2;6;0;8;10;1;2;2;1;2
2;0;21;1;2;720;1280;2;5;0;1;5;1;2;1;1;0
3;0;55;1;0;720;1280;1;6;0;8;10;1;0;2;1;2
0;0;44;2;1;720;1280;1;5;0;4;0.5;1;1;2;1;1
0;0;31;1;2;1280;720;0;4;1;8;1;1;1;1;0;1
0;1;49;1;1;1280;1280;1;5;1;8;1;1;1;1;1;1
3;0;53;3;0;1920;720;0;4;0;2;1;0;0;1;0;1
4;1;57;2;1;720;1280;0;3;1;4;1;1;3;2;0;1
1;0;27;1;2;3840;720;1;5;1;4;0.5;0;0;1;1;1
0;1;67;1;1;1920;1920;0;0;1;1;0.5;0;1;1;0;0
0;1;37;3;2;720;1280;2;6;0;8;10;0;1;2;1;1
3;1;57;1;0;720;1280;0;4;0;8;1;1;0;2;0;1
2;1;37;2;2;1920;1280;2;5;0;2;0.5;1;2;1;1;1
0;1;29;2;2;3840;3840;2;5;1;1;2;1;1;1;1;0
0;1;51;2;1;1280;720;0;0;1;2;1;0;1;1;0;1
2;1;39;2;2;1280;1920;1;6;0;8;1;0;2;1;1;1
3;1;37;2;1;1280;2560;0;4;1;2;10;1;2;1;0;0
0;0;61;2;0;3840;2560;2;6;1;2;5;0;0;2;1;1
0;1;65;3;0;3840;3840;2;6;0;1;1;1;0;2;1;0
0;0;17;1;2;1280;720;0;0;1;8;2;1;1;1;0;1
4;0;54;1;1;3840;2560;2;5;1;1;5;1;3;2;1;0
1;0;49;1;1;720;1280;2;5;1;1;2;0;0;2;1;0
1;1;18;0;1;720;1280;0;0;1;4;5;0;0;1;0;1
2;0;43;3;2;720;1280;0;0;1;2;0.5;1;2;2;0;1
0;0;27;2;2;1920;1280;0;3;0;2;10;0;1;1;0;0
1;0;68;2;1;3840;1280;0;4;1;8;5;1;1;1;0;1
4;0;67;2;1;720;1280;1;6;0;8;1;1;3;2;1;1
3;1;39;3;2;1280;1280;0;4;1;1;2;1;2;1;0;0
2;0;19;1;1;2560;3840;1;6;0;4;5;1;2;1;1;2
0;1;47;3;1;3840;720;1;6;1;2;5;0;1;1;1;0
2;0;43;2;1;720;1280;0;1;0;8;5;1;2;2;0;1
4;1;49;3;1;720;1280;2;5;1;8;2;0;3;2;1;1
1;1;59;2;0;1280;3840;0;2;1;2;10;0;0;1;0;0
2;1;51;1;1;1280;3840;0;1;0;8;0.5;1;2;1;0;1
2;1;57;2;1;720;1280;0;1;1;2;1;0;2;2;0;1
0;0;43;2;2;720;1280;0;1;1;4;10;1;1;2;0;1
1;1;33;2;1;1280;3840;1;5;0;1;0.5;1;0;1;1;0
3;1;49;2;2;2560;720;2;5;0;4;1;1;2;2;1;1
0;0;55;1;0;2560;1280;0;1;1;8;0.5;1;0;1;0;1
4;0;67;3;0;720;1280;2;6;0;2;1;0;0;2;1;1
0;1;51;2;0;1920;3840;0;3;1;2;0.5;0;0;1;0;1
0;0;16;0;1;3840;720;1;5;0;4;5;1;0;1;1;2
3;1;55;2;0;2560;1920;2;6;0;4;1;0;0;2;1;1
3;1;25;1;2;720;1280;2;6;1;1;2;0;2;1;1;0
0;1;41;3;2;1280;1920;1;5;1;8;10;1;1;1;1;2
2;0;43;2;1;3840;1920;2;6;1;8;1;1;2;1;1;1
0;1;55;1;1;3840;2560;2;6;0;1;5;1;1;2;1;0
0;0;65;2;1;720;1280;2;6;0;8;1;0;1;2;1;1
2;1;19;1;1;720;1280;0;0;1;8;2;0;1;1;0;1
0;0;52;2;0;3840;720;1;6;1;2;0.5;0;0;1;1;1
0;1;43;3;2;2560;1920;1;5;1;1;2;0;1;1;1;0
4;0;56;2;0;720;1280;2;6;1;2;0.5;1;0;2;1;1
4;0;49;2;2;1280;3840;0;4;1;2;10;0;3;1;0;0
0;1;53;1;1;2560;3840;0;4;0;2;2;0;1;1;0;0
0;0;63;1;1;2560;720;0;1;0;8;0.5;0;1;1;0;1
0;0;27;1;2;1280;2560;2;5;1;8;2;0;1;1;1;1
0;0;23;2;2;3840;1280;2;6;0;8;2;0;1;0;1;1
2;0;56;1;1;1280;1920;2;5;0;1;10;0;2;2;1;0
2;0;59;1;1;1280;1280;2;6;0;4;1;1;2;2;1;1
1;0;61;2;1;3840;3840;2;6;0;8;5;0;1;2;1;1
2;0;53;3;1;3840;1920;0;0;1;1;0.5;1;2;1;0;0
4;1;37;3;2;1280;1280;0;1;1;2;10;0;3;1;0;0
0;0;25;2;2;2560;3840;2;5;1;1;2;1;1;1;1;0
1;0;48;2;1;1280;720;0;3;1;4;1;0;0;1;0;1
0;0;20;0;2;720;1280;1;5;1;8;10;1;1;2;1;2
3;1;35;3;2;720;1280;2;6;1;4;5;1;2;1;1;2
0;0;47;3;2;720;1280;1;5;0;1;1;1;1;2;1;0
2;0;47;3;2;3840;3840;1;6;0;4;0.5;0;2;1;1;1
0;1;17;1;1;1920;1920;0;3;1;8;5;1;0;0;0;1
1;1;23;2;2;1280;1280;2;6;1;2;5;0;0;0;1;1
0;1;36;2;2;720;1280;0;3;0;1;10;0;1;2;0;0
0;0;25;1;2;1920;1280;1;5;1;2;5;1;1;1;1;0
3;1;30;2;2;1920;2560;1;6;1;8;10;0;2;1;1;1
4;0;21;1;2;2560;2560;1;6;1;8;0.5;0;3;1;1;1
3;1;67;2;1;2560;1920;0;4;0;1;2;0;2;1;0;0
0;0;67;3;0;720;1280;2;5;1;8;0.5;1;0;2;1;1
3;0;23;0;2;720;1280;0;3;1;2;1;1;2;1;0;1
0;0;35;3;2;720;1280;2;6;0;2;0.5;0;1;2;1;1
0;0;45;3;1;3840;3840;1;6;0;8;1;1;1;1;1;1
1;0;47;3;2;1280;2560;0;1;0;4;1;0;1;1;0;1
3;0;17;0;1;2560;2560;0;1;1;8;10;1;2;0;0;1
0;0;65;2;0;2560;1920;0;1;1;1;0.5;1;0;1;0;0
0;1;49;1;1;1920;2560;2;6;0;8;0.5;0;1;2;1;1
0;0;67;2;1;720;1280;2;5;0;8;1;0;1;2;1;1
1;0;59;2;1;2560;3840;1;6;1;2;5;1;0;1;1;0
0;1;55;2;0;1280;720;1;5;0;8;5;0;0;1;1;1
0;0;45;1;1;3840;720;0;0;1;2;0.5;1;1;1;0;1
0;0;54;1;1;3840;1920;2;6;1;8;10;1;1;2;1;2
0;0;59;1;0;1280;1920;2;6;1;8;0.5;0;0;2;1;1
4;1;35;3;2;1280;3840;0;1;0;4;10;1;3;1;0;1
2;1;26;1;2;720;1280;0;4;0;8;2;0;2;1;0;1
3;1;63;1;1;1920;1280;0;1;0;2;1;0;2;1;0;1
0;1;30;1;2;2560;720;1;6;1;2;1;1;1;1;1;1
4;0;63;1;0;720;1280;1;5;0;2;0.5;1;0;2;1;1
1;1;20;0;2;2560;720;2;5;0;2;10;1;0;0;1;1
4;0;25;2;2;2560;1280;0;0;0;4;0.5;0;3;1;0;1
4;1;27;1;2;1280;1920;2;5;0;2;2;0;3;1;1;1
3;0;57;3;1;720;1280;0;1;0;4;5;1;2;2;0;1
2;1;30;3;2;1920;3840;2;5;1;8;10;0;2;1;1;1
2;0;22;0;2;3840;1920;1;5;0;2;0.5;0;2;1;1;1
2;1;21;0;2;1920;720;1;5;1;2;1;0;1;1;1;1
1;0;55;1;0;1920;2560;2;6;1;2;10;1;0;2;1;1
0;0;51;1;0;720;1280;2;5;1;1;5;1;0;2;1;0
1;0;67;3;0;3840;3840;1;6;1;1;0.5;1;0;1;1;0
1;1;43;2;2;720;1280;2;5;1;8;2;0;1;1;1;1
0;1;21;2;2;2560;720;0;1;0;2;5;1;0;0;0;0
0;1;65;1;0;720;1280;1;6;0;8;5;0;0;2;1;1
1;0;49;3;2;720;1280;1;6;1;8;10;0;0;2;1;1
2;0;45;3;1;1280;3840;0;0;0;8;2;0;2;1;0;1
3;0;47;1;2;2560;720;2;5;0;4;5;1;2;2;1;2
4;1;23;0;2;2560;1920;1;6;0;2;5;0;3;0;1;0
0;0;47;2;2;1920;1280;2;6;1;8;5;0;1;2;1;1
2;1;31;2;1;2560;2560;0;1;1;1;5;0;2;1;0;0
1;0;43;1;1;2560;720;0;1;1;1;10;0;0;1;0;0
0;0;59;1;0;720;1280;0;3;0;4;0.5;0;0;2;0;1
1;0;35;2;1;2560;720;2;6;0;8;1;1;0;2;1;1
2;0;45;1;1;2560;3840;2;5;0;8;1;0;2;2;1;1
0;1;19;0;1;720;1280;1;5;0;1;1;0;0;1;1;0
0;1;65;1;1;2560;3840;1;6;1;2;1;0;1;1;1;1
2;0;23;0;2;720;1280;0;4;0;8;0.5;1;2;1;0;1
3;0;45;3;2;3840;2560;2;5;1;4;2;1;2;2;1;2
1;0;56;3;1;2560;720;1;6;0;1;2;1;1;1;1;0
2;0;31;2;1;1280;1280;2;6;0;2;0.5;0;2;1;1;1
3;1;17;1;2;1920;3840;1;5;0;4;1;1;1;1;1;1
0;0;49;2;1;2560;1920;1;6;0;2;0.5;0;1;1;1;1
0;1;23;2;2;1920;3840;1;6;0;4;2;1;0;0;1;2
0;1;47;1;1;720;1280;0;2;1;2;5;1;1;2;0;0
4;1;17;1;1;1280;1280;2;6;1;8;1;1;3;0;1;1
0;1;59;2;1;3840;1920;1;6;0;4;1;0;1;1;1;1
2;0;44;2;1;2560;2560;2;6;1;4;0.5;1;2;2;1;1
0;0;51;2;0;2560;1920;1;6;0;4;5;1;0;1;1;2
1;0;65;1;1;2560;1280;2;5;0;2;1;1;1;2;1;1
1;1;31;2;2;1280;1280;1;5;1;8;2;1;0;1;1;2
1;0;31;3;2;1920;1280;0;3;0;1;10;0;0;1;0;0
4;1;21;0;2;3840;2560;2;5;1;2;5;1;3;1;1;1
3;0;21;2;2;3840;720;1;5;0;8;10;1;2;0;1;2
3;1;56;1;0;720;1280;2;5;0;4;2;0;0;2;1;1
0;1;47;1;2;3840;720;2;6;0;4;0.5;0;1;2;1;1
1;1;43;3;2;3840;3840;1;6;1;2;1;0;0;1;1;1
0;0;43;1;2;3840;1920;2;5;0;1;10;1;1;2;1;0
2;1;55;2;0;720;1280;0;3;1;8;0.5;0;0;2;0;1
2;1;31;1;1;1280;720;2;6;0;2;1;1;2;1;1;1
4;1;59;1;1;1280;3840;2;5;1;2;2;1;3;2;1;1
3;0;45;3;1;2560;2560;0;2;1;1;10;1;2;1;0;0
1;0;39;3;1;1920;3840;2;5;1;2;0.5;1;1;2;1;1
2;0;33;2;1;720;1280;1;6;0;2;0.5;1;2;2;1;1
1;0;57;1;1;3840;720;0;0;0;4;1;1;0;1;0;1
3;1;19;0;1;2560;2560;2;6;0;4;5;0;1;1;1;1
0;1;49;1;1;720;1280;1;6;1;4;0.5;1;1;2;1;1
1;1;17;0;1;3840;1280;2;6;1;1;5;1;0;0;1;0
1;1;23;2;2;3840;720;1;6;1;8;10;1;0;1;1;2
2;0;21;2;2;1920;1920;1;5;0;1;1;0;2;1;1;0
3;1;53;2;0;720;1280;0;4;1;2;2;1;0;2;0;0
1;1;52;2;1;2560;2560;0;4;0;2;2;1;1;1;0;0
1;0;33;1;1;720;1280;1;5;1;8;10;0;0;2;1;1
0;0;31;2;2;1280;1280;2;5;1;1;10;0;1;1;1;0
0;0;63;3;0;3840;3840;0;3;0;1;5;1;0;1;0;0
0;1;67;2;1;3840;720;2;6;1;2;2;1;1;2;1;1
0;1;45;3;1;3840;1920;0;1;1;1;1;1;1;1;0;0
3;0;40;2;2;2560;720;0;0;1;8;1;1;2;1;0;1
0;0;25;1;2;3840;1280;0;3;0;2;0.5;1;1;1;0;1
0;1;66;1;0;720;1280;2;6;1;8;10;1;0;2;1;2
3;1;35;2;2;2560;1280;1;5;1;1;1;1;2;1;1;0
0;1;49;2;2;1920;1280;1;6;1;2;2;0;1;1;1;0
0;1;44;2;1;1280;720;2;5;0;2;2;0;1;1;1;1
2;1;25;2;2;720;1280;1;5;1;2;5;1;2;2;1;0
2;0;41;2;1;3840;3840;0;4;0;4;0.5;0;2;1;0;1
0;1;31;1;1;1280;3840;2;6;0;8;5;1;1;1;1;2
2;0;63;2;1;720;1280;1;6;0;1;0.5;1;2;2;1;0
0;1;59;2;0;1280;720;1;6;0;4;5;1;0;1;1;2
0;1;67;3;0;1280;1280;1;6;0;1;2;0;0;1;1;0
0;1;20;0;2;1280;2560;2;5;0;8;5;1;1;0;1;2
1;0;26;1;2;2560;3840;0;2;1;1;1;1;1;1;0;0
0;1;53;3;0;720;1280;0;1;1;8;10;0;0;2;0;1
2;0;59;3;1;2560;1920;2;5;0;8;5;0;2;2;1;1
3;0;41;1;1;1280;3840;1;6;0;1;10;0;2;1;1;0
2;1;23;2;2;1920;3840;2;5;0;1;5;0;2;1;1;0
0;1;17;0;2;2560;2560;2;6;0;1;1;1;0;1;1;0
2;1;38;2;2;1920;3840;1;5;0;4;1;1;2;1;1;1
0;1;26;2;2;1920;1920;0;2;0;4;5;1;1;1;0;1
1;1;65;3;0;1280;1280;2;5;0;1;10;1;0;2;1;0
0;1;33;1;1;1920;2560;2;5;1;8;10;0;1;1;1;1
0;1;45;1;2;3840;3840;0;3;0;8;5;1;1;1;0;1
4;0;16;1;2;720;1280;1;5;0;4;1;1;3;2;1;1
0;0;29;3;2;1280;2560;0;4;0;8;5;1;1;1;0;1
2;0;67;3;0;720;1280;1;5;0;8;1;1;0;2;1;1
0;1;63;2;1;3840;720;1;5;0;8;2;0;1;1;1;1
0;1;21;0;2;720;1280;1;5;1;8;0.5;1;0;2;1;1
1;0;45;1;1;1920;1920;1;6;1;1;5;1;0;1;1;0
3;0;58;3;0;1280;1280;1;6;1;1;1;1;0;1;1;0
4;0;33;2;2;1920;720;0;2;1;8;2;1;3;1;0;1
3;1;18;0;1;720;1280;0;3;1;8;5;1;1;1;0;1
0;0;43;1;1;1920;1280;0;0;0;1;1;0;1;1;0;0
3;0;65;1;1;3840;2560;2;5;1;8;0.5;0;2;2;1;1
2;1;31;1;2;2560;1920;2;6;1;4;10;1;2;1;1;2
1;0;39;3;2;1280;2560;1;6;1;2;5;0;1;1;1;0
4;0;18;0;2;1280;1280;1;5;1;8;2;0;3;1;1;1
0;1;33;2;2;2560;3840;0;4;1;8;5;0;1;1;0;1
0;1;61;3;0;3840;2560;1;6;0;8;5;0;0;1;1;1
2;1;33;2;2;2560;2560;2;6;1;1;10;1;2;1;1;0
0;1;29;1;2;3840;2560;2;5;1;2;10;0;1;1;1;1
0;1;23;1;2;1920;1280;0;4;0;4;10;1;1;1;0;1
0;0;21;1;2;2560;1920;2;5;1;2;1;0;1;0;1;1
2;0;17;0;1;1280;720;0;0;1;4;2;0;2;1;0;1
0;0;41;1;1;720;1280;1;5;0;8;0.5;1;1;2;1;1
2;1;35;2;1;3840;3840;1;6;1;4;5;1;2;1;1;2
4;1;25;1;2;2560;1280;1;5;1;4;1;1;3;1;1;1
2;1;54;2;0;3840;1280;2;6;1;1;10;0;0;2;1;0
4;1;37;3;1;720;1280;2;5;0;1;2;1;3;1;1;0
0;0;49;1;2;2560;720;1;6;1;1;0.5;0;1;1;1;0
0;0;59;2;0;1280;2560;1;5;1;1;5;0;0;1;1;0
4;1;63;2;1;3840;3840;0;1;1;1;1;0;3;1;0;0
0;0;38;3;2;1280;1920;1;5;1;4;1;1;1;1;1;1
4;1;63;1;1;2560;720;0;1;0;1;10;1;3;1;0;0
4;1;45;1;2;3840;1280;0;2;1;4;2;1;3;1;0;1
4;1;49;3;2;2560;2560;2;5;0;1;1;0;3;2;1;0
0;1;63;3;1;720;1280;2;5;0;8;1;0;1;2;1;1
1;1;45;1;1;1280;720;1;6;0;2;10;1;1;1;1;0
1;0;67;3;1;3840;1920;0;3;0;8;1;1;1;1;0;1
4;1;27;2;2;3840;1920;0;0;1;4;1;1;3;1;0;1
1;0;51;1;1;1920;720;2;5;1;2;1;1;1;2;1;1
3;1;67;1;1;1280;720;1;6;0;8;0.5;0;2;1;1;1
2;1;51;3;0;1280;1280;2;5;1;8;10;0;0;2;1;1
3;0;35;3;2;720;1280;2;5;0;2;2;1;2;2;1;1
1;1;57;3;1;1280;1280;2;5;0;8;1;0;0;2;1;1
0;1;51;1;0;1920;1920;0;1;1;4;10;1;0;1;0;1
0;0;43;3;1;3840;720;0;4;1;8;0.5;0;1;1;0;1
4;0;49;3;2;720;1280;1;6;1;1;5;0;3;2;1;0
0;0;35;3;1;1280;3840;0;4;1;1;10;1;1;1;0;0
0;0;23;2;2;1920;2560;0;3;0;1;5;0;1;0;0;0
1;1;37;1;2;2560;3840;2;6;1;8;10;0;0;2;1;1
0;1;39;2;1;1280;1920;2;5;1;4;1;1;1;1;1;1
2;1;37;2;1;3840;720;0;4;0;2;10;0;2;1;0;0
0;0;27;1;2;2560;3840;0;1;1;4;0.5;0;1;1;0;1
0;1;35;2;1;1920;2560;1;5;1;2;5;0;1;1;1;0
0;0;23;2;2;1920;2560;2;6;0;2;2;0;1;1;1;1
0;1;23;2;2;1280;1920;1;5;1;8;0.5;1;1;0;1;1
1;1;51;1;1;1920;2560;0;4;0;2;10;0;1;1;0;0
2;1;37;1;2;3840;2560;2;5;0;1;2;1;2;2;1;0
2;1;18;0;1;720;1280;2;6;0;1;5;0;2;1;1;0
0;1;37;3;2;3840;2560;0;0;0;1;0.5;0;1;1;0;0
4;1;43;3;1;1280;1920;0;2;1;4;10;1;3;1;0;1
1;1;51;1;1;2560;3840;1;6;1;4;5;1;0;1;1;2
2;0;27;2;2;720;1280;0;4;1;1;5;1;2;1;0;0
0;0;67;1;1;720;1280;2;6;1;2;1;1;1;2;1;1
0;0;44;1;1;1920;720;2;5;1;8;1;1;1;2;1;1
3;1;41;2;2;2560;1280;1;5;0;4;5;0;2;1;1;1
4;1;49;1;2;720;1280;0;0;0;4;0.5;0;3;2;0;1
2;0;23;0;2;1280;1280;1;5;0;8;2;0;2;1;1;1
3;1;52;3;0;720;1280;1;5;1;8;10;1;0;2;1;2
4;0;32;3;2;1920;1280;1;6;1;1;5;0;3;1;1;0
2;1;33;2;2;1920;1280;1;6;0;8;1;1;2;1;1;1
4;0;57;1;1;2560;720;0;3;1;4;2;0;3;1;0;1
1;1;47;3;1;720;1280;0;0;1;2;1;1;0;2;0;1
0;1;33;2;2;2560;1280;0;2;0;1;0.5;1;1;1;0;0
4;0;32;3;2;1280;2560;2;5;0;4;0.5;1;3;1;1;1
3;0;59;2;0;1920;720;1;5;1;8;2;1;0;1;1;2
3;0;35;2;1;1280;720;2;6;0;4;0.5;0;2;2;1;1
1;1;53;1;1;1920;1280;0;4;1;4;5;0;1;1;0;1
1;1;52;1;0;3840;3840;0;1;1;8;10;0;0;1;0;1
0;0;61;3;1;2560;1280;2;5;0;4;10;1;1;2;1;2
0;1;59;3;0;1920;1280;0;2;0;2;5;1;0;1;0;0
2;1;29;2;2;2560;2560;2;6;0;4;0.5;0;2;1;1;1
0;0;31;1;1;720;1280;0;1;1;8;10;0;1;1;0;1
0;1;29;3;2;3840;1280;1;6;1;2;2;0;1;1;1;0
3;0;57;2;0;1280;2560;2;6;0;2;10;0;0;2;1;1
0;0;37;3;2;1280;2560;0;2;1;2;5;0;1;1;0;0
0;1;33;2;1;3840;3840;2;6;0;4;0.5;1;1;1;1;1
3;0;57;1;0;3840;720;2;5;0;1;2;0;0;2;1;0
1;0;21;0;2;2560;1920;2;6;1;8;5;1;0;1;1;2
0;1;45;2;2;2560;720;2;5;1;2;5;0;1;2;1;1
0;0;50;2;1;720;1280;0;0;1;2;5;1;1;2;0;0
2;0;51;3;0;2560;1920;2;6;1;1;10;1;0;2;1;0
2;1;47;2;1;1280;3840;2;5;1;1;2;0;2;2;1;0
2;1;59;2;1;720;1280;0;2;0;2;2;1;2;2;0;0
0;1;45;3;1;720;1280;1;5;1;2;0.5;0;1;2;1;1
2;0;19;0;2;720;1280;2;5;0;2;10;1;2;1;1;1
2;0;57;2;0;720;1280;1;5;1;8;0.5;1;0;2;1;1
0;0;41;2;2;2560;2560;2;5;0;8;2;0;1;1;1;1
0;0;21;2;2;3840;1920;0;1;1;4;1;0;1;1;0;1
4;1;29;1;2;2560;1280;2;6;0;2;2;0;3;1;1;1
3;1;37;2;2;3840;3840;2;5;1;8;5;1;2;1;1;2
0;1;38;2;1;1920;2560;1;5;0;2;10;1;1;1;1;0
0;1;19;0;1;1920;3840;1;6;0;1;1;1;0;0;1;0
4;1;67;3;0;720;1280;0;0;0;2;5;0;0;2;0;0
0;1;55;3;1;3840;1280;2;6;0;1;5;1;1;2;1;0
0;0;69;3;0;720;1280;0;3;0;8;2;0;0;2;0;1
0;1;35;3;2;1920;1280;1;5;0;2;5;0;1;1;1;0
0;0;39;3;2;720;1280;1;6;1;1;2;1;1;2;1;0
3;1;55;2;0;1920;2560;1;6;1;2;1;0;0;1;1;1
0;0;40;1;1;2560;2560;0;3;0;1;10;1;1;1;0;0
2;1;33;1;1;1920;3840;0;4;0;1;0.5;0;2;1;0;0
4;1;44;1;2;720;1280;0;2;0;1;1;0;3;2;0;0
1;0;35;1;1;1280;2560;0;4;0;8;1;0;0;1;0;1
0;1;33;3;1;2560;2560;1;6;0;1;0.5;1;1;1;1;0
4;0;41;1;1;1920;1280;1;6;0;4;0.5;0;3;1;1;1
3;0;45;3;2;1920;720;2;6;0;2;2;1;2;2;1;1
0;0;54;2;1;2560;1280;2;6;1;1;1;1;1;2;1;0
4;1;49;3;1;3840;1280;0;1;0;1;5;1;3;1;0;0
0;0;67;2;1;3840;3840;1;6;0;2;0.5;0;1;1;1;1
1;1;29;1;2;3840;2560;1;5;0;4;0.5;1;0;1;1;1
2;1;47;3;1;720;1280;1;6;1;8;0.5;0;2;2;1;1
